ConvNeXt_Base,15.3641472,334.0512809753418,87.569539
ConvNeXt_Small,8.690775552,188.6634635925293,49.456995
DenseNet121,2.848984832,26.538585662841797,6.956931
DenseNet161,7.755399552,101.0079460144043,26.478627
DenseNet169,3.377390848,47.6435661315918,12.489475
EfficientNet_B6,3.40018288,155.42075729370117,40.742619
EfficientNet_B7,5.22436048,243.35725021362305,63.794643
EfficientNet_V2_L,12.274822912,447.2279167175293,117.238115
EfficientNet_V2_M,5.386504,201.6532859802246,52.862199
EfficientNet_V2_S,2.864121472,76.98566818237305,20.181331
MobileNet_V2,0.306177504,8.498058319091797,2.227715
MobileNet_V3_Large,0.220315832,16.044139862060547,4.205875
RegNet_Y_16GF,15.937148864,307.36623764038086,80.574215
RegNet_Y_32GF,32.313750376,539.1880378723145,141.344909
RegNet_Y_8GF,8.495448864,142.55723190307617,37.370523
ResNet101,7.815597568,162.1486930847168,42.506307
ResNet152,11.534140928,221.8244743347168,58.149955
ResNet18,1.816047104,42.6408805847168,11.178051
ResNet34,3.666989568,81.2004508972168,21.286211
ResNet50,4.098258432,89.6994743347168,23.514179
SqueezeNet1_1,0.262883523,2.761974334716797,0.724035
Swin_V2_B,17.062858824,331.5312309265137,86.908923
VGG11,7.605031424,491.2514762878418,128.778627
VGG13,11.304407552,491.9553337097168,128.963139
VGG16,15.466205696,512.2102165222168,134.272835
VGG19,19.62800384,532.4650993347168,139.582531
ViT_B_16,16.851517489,327.3046989440918,85.800963
ViT_B_32,4.363300657,333.6240348815918,87.457539
